order_id,date,region,country,product_category,product_name,units_sold,unit_price,discount_pct,revenue,sales_rep,customer_segment
ORD-00475,2024-06-07,LATIN AMERICA,Argentina,Hardware,Server Rack,45,2830.6,0.4136,74693.87,Iris Chen,Education
ORD-00325,2024-01-17,europe,Germany,Services,Training Bundle,5,157.37,0.1209,691.72,Alice Johnson,Startup
ORD-00545,2024-03-03,europe,SPAIN,Software,Analytics Dashboard,1,572.79,0.416,334.51,Carol White,Startup
ORD-00052,2023-07-06,north america,UNITED STATES,Accessories,Docking Station,8,260.99,0.3901,1273.42,Alice Johnson,Startup
ORD-00805,2023-11-05,ASIA PACIFIC,China,Electronics,4K Monitor,8,$1113.24,0.0984,8029.58,Jack Wilson,Government
ORD-01125,2023-02-02,North America,canada,Accessories,Desk Mat XL,45,2322.48,0.2105,82511.91,Bob Smith,Education
ORD-00842,2023-11-20,North America,Canada,Accessories,Docking Station,20,$328.68,0.3836,4051.97,Carol White,Startup
ORD-00187,2024-08-23,LATIN AMERICA,Argentina,Accessories,Desk Mat XL,17,2091.54,0.2771,25703.56,David Lee,SMB
ORD-00319,2024-06-13,LATIN AMERICA,colombia,Hardware,Server Rack,15,$2563.27,0.257,28567.64,Jack Wilson,Education
ORD-00141,2023-06-15,LATIN AMERICA,CHILE,Accessories,Cable Kit,14,852.49,0.2374,9101.52,David Lee,Education
ORD-00944,2023-04-27,Asia pacific,australia,Hardware,Server Rack,11,1381.38,0.3889,9285.77,Grace Kim,Startup
ORD-00970,2023-11-26,Asia pacific,australia,Electronics,Laptop Pro 15,3,42.58,0.2094,,David Lee,Education
ORD-00064,2024-07-17,europe,germany,Software,Security Suite,4,1113.36,0.1547,3764.49,Frank Brown,Startup
ORD-01014,2024-10-13,LATIN AMERICA,brazil,Hardware,GPU Unit,7,2579.34,0.1946,14541.8,Alice Johnson,SMB
ORD-00757,2023-08-31,middle east,Saudi Arabia,Electronics,Webcam HD,18,$1028.99,0.1501,15741.69,Bob Smith,Education
ORD-00811,2024-12-13,North America,Canada,Software,Cloud Storage,10,2753.85,0.3607,17605.36,David Lee,Education
ORD-00099,2024-02-11,EUROPE,italy,Electronics,Wireless Headphones,12,684.58,0.3035,5721.72,Iris Chen,Startup
ORD-00190,2024-02-11,LATIN AMERICA,brazil,Electronics,Wireless Headphones,3,2514.43,0.0164,7419.58,Henry Davis,SMB
ORD-00621,2023-12-31,North America,UNITED STATES,Software,Security Suite,6,825.27,0.4104,2919.48,Alice Johnson,Startup
ORD-00221,2024-12-15,europe,Germany,Electronics,USB Hub,77,1611.85,0.226,96063.04,Grace Kim,SMB
ORD-00976,2024-09-24,europe,UK,Services,Integration Service,2,2901.78,0.1683,4826.82,Bob Smith,Enterprise
ORD-00408,2024-06-13,Asia pacific,China,Accessories,Keyboard Mechanical,10,449.12,0.4151,2626.9,Grace Kim,Education
ORD-01068,2024-03-12,LATIN AMERICA,CHILE,Services,Training Bundle,30,1557.85,0.2287,36047.09,Eva Martinez,Startup
ORD-00250,2024-11-20,europe,SPAIN,Services,Audit Report,16,1062.42,0.0776,15679.62,Eva Martinez,Education
ORD-00335,2024-06-13,middle east,ISRAEL,Hardware,SSD 2TB,26,2857.03,0.0848,67983.6,David Lee,Enterprise
ORD-00532,2024-12-07,europe,Germany,Electronics,Webcam HD,3,2116.98,0.2833,,Henry Davis,Education
ORD-00682,2023-05-07,north america,UNITED STATES,Hardware,GPU Unit,4,1484.03,0.3901,3620.44,Frank Brown,Enterprise
ORD-00340,2023-07-19,ASIA PACIFIC,Japan,Services,Consulting Package,7,1754.88,0.032,11891.07,Iris Chen,Enterprise
ORD-00558,2024-01-27,europe,italy,Hardware,Network Switch,8,1309.85,0.3588,6719.01,Frank Brown,Education
ORD-00654,2023-11-04,europe,SPAIN,Electronics,USB Hub,5,1392.83,,4624.89,Grace Kim,Government
ORD-00114,2023-05-14,Asia pacific,INDIA,Electronics,Laptop Pro 15,87,$288.75,0.3325,16768.43,Iris Chen,Enterprise
ORD-00375,2024-11-22,Asia pacific,Japan,Hardware,Network Switch,68,106.59,0.0461,6913.98,Iris Chen,SMB
ORD-00217,2024-12-02,middle east,Saudi Arabia,Software,Security Suite,6,1713.66,0.2478,7734.09,Frank Brown,Startup
ORD-00813,2023-03-22,LATIN AMERICA,Argentina,Electronics,Wireless Headphones,38,2495.34,0.1063,84743.24,Grace Kim,Government
ORD-00368,2024-02-29,LATIN AMERICA,Brazil,Services,Support Plan,12,2346.44,0.0485,26791.65,Alice Johnson,Education
ORD-01106,2023-05-31,ASIA PACIFIC,China,Software,CRM Suite,5,$2967.36,0.3615,9473.3,Carol White,SMB
ORD-01086,2024-06-23,North America,mexico,Services,Support Plan,17,$753.61,0.3805,7936.64,Bob Smith,Education
ORD-00998,2024-08-26,middle east,uae,Services,Audit Report,20,2731.87,0.149,46496.43,Grace Kim,Startup
ORD-00084,2023-11-02,Asia pacific,Japan,Hardware,RAM 32GB,8,2365.27,0.0012,18899.45,Jack Wilson,Education
ORD-00010,2024-10-04,europe,UK,Software,Analytics Dashboard,18,$281.81,0.0493,4822.5,Carol White,Government
ORD-01096,2024-07-22,ASIA PACIFIC,South Korea,Services,Training Bundle,11,714.85,0.2173,6154.64,Bob Smith,Enterprise
ORD-00054,2024-10-29,ASIA PACIFIC,Japan,Accessories,Keyboard Mechanical,19,1056.37,0.3516,13014.06,Alice Johnson,Enterprise
ORD-00926,2024-05-10,LATIN AMERICA,Brazil,Software,Security Suite,3,$1714.66,0.4439,2860.57,Alice Johnson,Enterprise
ORD-00337,2024-05-02,north america,canada,Accessories,Mouse Ergonomic,6,2142.96,0.2872,9165.01,Frank Brown,Education
ORD-00253,2023-01-10,ASIA PACIFIC,australia,Software,Analytics Dashboard,66,$1358.48,0.1616,75170.68,Henry Davis,SMB
ORD-01017,2024-03-31,ASIA PACIFIC,Japan,Accessories,Cable Kit,3280,111.9,0.2957,258500.64,Alice Johnson,Startup
ORD-00566,2024-03-17,EUROPE,italy,Software,Cloud Storage,8,$1939.98,,11743.86,David Lee,Education
ORD-00786,2024-02-05,Asia pacific,australia,Accessories,Docking Station,28,1725.89,0.1716,40032.36,Bob Smith,Education
ORD-00263,2023-05-14,europe,France,Services,Support Plan,0,975.36,0.2463,0.0,Jack Wilson,Government
ORD-00782,2024-08-24,ASIA PACIFIC,South Korea,Software,Project Manager,4,2172.76,0.1052,7776.74,Iris Chen,Government
ORD-00834,2024-05-02,ASIA PACIFIC,China,Accessories,Cable Kit,6,$1841.64,0.1926,,Bob Smith,Government
ORD-00832,2024-09-25,north america,canada,Electronics,USB Hub,5,2100.79,0.1658,8762.4,Henry Davis,Education
ORD-00643,2024-11-06,ASIA PACIFIC,INDIA,Software,Security Suite,9,$1467.48,0.3038,9194.94,Iris Chen,Education
ORD-00879,2023-07-23,LATIN AMERICA,CHILE,Electronics,Wireless Headphones,12,2234.32,0.0721,24878.71,Henry Davis,Startup
ORD-00173,2024-04-23,LATIN AMERICA,Argentina,Hardware,GPU Unit,11,577.59,0.4482,3505.86,Henry Davis,Startup
ORD-00279,2024-08-13,Asia pacific,australia,Electronics,Laptop Pro 15,12,1293.67,0.1183,13687.55,Bob Smith,Government
ORD-01091,2023-01-18,LATIN AMERICA,colombia,Accessories,Desk Mat XL,11,2723.91,0.1101,26664.08,Henry Davis,Government
ORD-00552,2024-07-31,North America,mexico,Hardware,Network Switch,10,2769.35,0.3271,18634.96,Eva Martinez,Enterprise
ORD-00206,2023-02-19,north america,Canada,Software,CRM Suite,5,110.38,0.3165,377.22,David Lee,Enterprise
ORD-01021,2023-06-12,Asia pacific,australia,Accessories,Docking Station,18,1856.24,,,David Lee,Enterprise
ORD-00531,2024-04-27,LATIN AMERICA,Argentina,Electronics,4K Monitor,20,1022.82,,19259.7,Alice Johnson,Enterprise
ORD-00611,2023-10-12,ASIA PACIFIC,australia,Electronics,4K Monitor,20,1927.51,0.1,34695.18,David Lee,Enterprise
ORD-00055,2023-08-12,LATIN AMERICA,Argentina,Electronics,USB Hub,27,387.39,0.2538,7804.9,Henry Davis,Startup
ORD-00780,2023-11-06,EUROPE,Germany,Electronics,4K Monitor,20,608.91,0.1482,,Eva Martinez,SMB
ORD-00362,2023-08-29,North America,Canada,Hardware,SSD 2TB,41,675.88,0.1815,22681.52,Bob Smith,Government
ORD-00624,2024-07-26,ASIA PACIFIC,INDIA,Hardware,Network Switch,35,472.11,0.0848,,Jack Wilson,Education
ORD-00858,2024-07-05,ASIA PACIFIC,China,Accessories,Cable Kit,17,1572.76,0.1585,,Iris Chen,SMB
ORD-01089,2023-11-16,north america,canada,Accessories,Mouse Ergonomic,9,1768.7,0.3742,9961.67,Frank Brown,Government
ORD-01013,2024-02-19,LATIN AMERICA,Argentina,Electronics,Webcam HD,4943,$1337.0,0.0548,6246629.25,Henry Davis,SMB
ORD-00147,2024-05-26,LATIN AMERICA,CHILE,Electronics,Laptop Pro 15,4,1920.46,,7464.44,Jack Wilson,Education
ORD-00921,2024-03-09,EUROPE,France,Electronics,Laptop Pro 15,28,528.99,0.1784,12169.31,Henry Davis,Education
ORD-00171,2024-02-13,North America,canada,Software,Security Suite,5,964.75,0.1554,4074.14,Carol White,Startup
ORD-00041,2023-11-26,middle east,turkey,Accessories,Keyboard Mechanical,21,638.44,0.273,9747.06,Henry Davis,Government
ORD-00535,2024-04-09,middle east,ISRAEL,Services,Support Plan,7,1998.88,0.3971,8435.87,Henry Davis,Enterprise
ORD-00501,2024-08-08,LATIN AMERICA,colombia,Services,Consulting Package,25,2474.73,0.1774,50892.82,Jack Wilson,Education
ORD-00419,2023-04-01,north america,Canada,Services,Consulting Package,31,2471.52,0.2701,55922.84,Bob Smith,Startup
ORD-00232,2024-01-30,europe,Germany,Electronics,Laptop Pro 15,14,288.25,0.146,3446.32,Alice Johnson,Startup
ORD-00102,2023-05-19,EUROPE,France,Electronics,Laptop Pro 15,8,$1482.94,0.3993,,Grace Kim,Government
ORD-00490,2023-01-23,ASIA PACIFIC,South Korea,Accessories,Keyboard Mechanical,24,1506.94,0.4169,21088.72,Alice Johnson,SMB
ORD-00427,2023-11-20,ASIA PACIFIC,Japan,Hardware,Server Rack,5,2368.07,0.3155,8104.72,Grace Kim,Startup
ORD-00327,2024-06-12,middle east,turkey,Accessories,Keyboard Mechanical,30,642.05,,12839.72,Frank Brown,Enterprise
ORD-00474,2023-11-06,North America,UNITED STATES,Services,Integration Service,1083,2949.03,,2449963.59,Alice Johnson,Startup
ORD-00791,2024-04-01,middle east,uae,Software,Cloud Storage,17,1382.27,0.446,13018.22,Bob Smith,Government
ORD-00098,2024-05-08,Asia pacific,South Korea,Hardware,GPU Unit,15,824.85,0.4113,7283.84,Eva Martinez,Startup
ORD-00628,2023-09-17,north america,Canada,Electronics,Laptop Pro 15,11,$1545.29,0.0535,16088.79,Alice Johnson,Enterprise
ORD-00570,2023-12-15,North America,mexico,Hardware,RAM 32GB,9,2991.07,0.1644,22494.04,Bob Smith,Government
ORD-00949,2024-12-19,Asia pacific,South Korea,Services,Integration Service,11,1982.21,0.2853,15583.54,Jack Wilson,Enterprise
ORD-00749,2023-07-16,ASIA PACIFIC,australia,Software,Project Manager,962,2277.67,0.3191,1491932.61,Bob Smith,Education
ORD-01039,2024-06-23,North America,Canada,Services,Training Bundle,14,2342.81,0.2941,23153.05,Eva Martinez,Startup
ORD-00901,2023-07-13,europe,UK,Software,Project Manager,16,552.72,0.3881,5411.35,Jack Wilson,Government
ORD-01082,2024-05-12,middle east,ISRAEL,Services,Integration Service,9,1281.34,0.0246,11248.37,David Lee,Startup
ORD-00598,2024-12-20,North America,Canada,Accessories,Keyboard Mechanical,5,2214.76,0.392,,David Lee,SMB
ORD-00557,2024-06-29,North America,United States,Hardware,Server Rack,8,1397.39,0.2143,8783.43,David Lee,Government
ORD-00698,2023-07-12,europe,UK,Electronics,Wireless Headphones,4,580.49,0.3132,1594.72,Alice Johnson,SMB
ORD-00755,2023-08-20,europe,SPAIN,Services,Training Bundle,2394,1010.76,0.3635,1540176.88,Grace Kim,Enterprise
ORD-00541,2024-09-22,LATIN AMERICA,Argentina,Accessories,Keyboard Mechanical,23,1986.03,0.1312,39685.65,Jack Wilson,Government
ORD-00887,2024-09-13,north america,Canada,Electronics,Laptop Pro 15,19,2236.81,0.2124,33472.52,Bob Smith,Government
ORD-00987,2024-08-31,North America,United States,Electronics,Webcam HD,40,1273.53,0.1812,41710.65,Eva Martinez,Education
ORD-00971,2024-11-18,EUROPE,italy,Hardware,GPU Unit,13,660.21,0.3223,5816.52,Bob Smith,Education
ORD-00951,2024-04-25,north america,mexico,Services,Support Plan,10,1369.33,0.088,12488.29,Bob Smith,Startup
ORD-00180,2024-08-20,ASIA PACIFIC,South Korea,Hardware,RAM 32GB,107,1111.38,0.441,66474.97,Eva Martinez,Enterprise
ORD-01070,2023-06-23,North America,United States,Hardware,SSD 2TB,16,870.64,0.1006,12528.86,Eva Martinez,Startup
ORD-01117,2023-03-27,north america,UNITED STATES,Services,Consulting Package,83,2476.88,0.328,138150.46,Carol White,Government
ORD-00668,2024-06-12,Asia pacific,Japan,Services,Support Plan,40,$948.02,0.071,35228.42,Carol White,Education
ORD-00499,2023-01-16,North America,Canada,Services,Integration Service,6,499.71,0.1839,2446.88,Eva Martinez,Government
ORD-00859,2023-05-18,EUROPE,germany,Electronics,Wireless Headphones,7,433.58,0.0968,2741.27,Jack Wilson,Education
ORD-00665,2024-10-21,EUROPE,France,Hardware,Network Switch,6,489.07,0.1427,2515.68,Grace Kim,Enterprise
ORD-00378,2024-06-10,LATIN AMERICA,Argentina,Hardware,RAM 32GB,14,2051.14,0.0782,26470.37,Bob Smith,Government
ORD-00512,2024-12-17,EUROPE,Germany,Electronics,Webcam HD,11,492.38,,3805.41,Jack Wilson,Education
ORD-00018,2024-08-07,north america,mexico,Electronics,USB Hub,15,2010.23,0.0595,28359.32,Jack Wilson,Government
ORD-00604,2024-08-03,North America,mexico,Services,Audit Report,36,1595.19,0.2061,45591.17,Carol White,Startup
ORD-00254,2024-03-30,LATIN AMERICA,colombia,Accessories,Docking Station,27,1233.3,0.3196,22656.71,Henry Davis,SMB
ORD-00416,2023-10-10,EUROPE,France,Services,Audit Report,6,2566.37,0.1645,12865.21,Grace Kim,SMB
ORD-00740,2024-08-23,europe,Germany,Services,Consulting Package,27,708.87,0.1211,16821.7,Bob Smith,SMB
ORD-00510,2024-09-26,ASIA PACIFIC,INDIA,Services,Integration Service,6,1804.3,0.2463,8159.41,Iris Chen,SMB
ORD-00508,2023-05-01,Asia pacific,Japan,Services,Training Bundle,6,2308.19,0.2819,9945.07,Carol White,SMB
ORD-00688,2024-10-31,europe,Germany,Electronics,Wireless Headphones,9,2340.67,0.3387,13930.97,Carol White,Enterprise
ORD-00286,2023-05-26,north america,UNITED STATES,Hardware,Server Rack,2,2949.51,0.4325,3347.69,Eva Martinez,Enterprise
ORD-00356,2024-12-07,EUROPE,UK,Hardware,Network Switch,5,1206.74,0.3761,3764.43,Henry Davis,Government
ORD-00793,2024-01-29,middle east,turkey,Accessories,Mouse Ergonomic,15,546.93,0.1944,6609.1,Carol White,Education
ORD-00452,2023-10-06,middle east,turkey,Software,CRM Suite,26,875.88,0.278,16442.02,Jack Wilson,Government
ORD-00587,2023-07-18,north america,UNITED STATES,Software,Analytics Dashboard,8,1370.41,0.0614,10290.13,Frank Brown,Startup
ORD-00709,2023-04-17,North America,United States,Accessories,Desk Mat XL,2,2561.68,0.2719,3730.32,Alice Johnson,Government
ORD-00326,2023-11-04,middle east,ISRAEL,Hardware,RAM 32GB,4,2057.7,0.1026,7386.32,Henry Davis,Startup
ORD-00109,2023-08-15,EUROPE,germany,Electronics,Webcam HD,14,1092.49,0.2034,,Jack Wilson,Enterprise
ORD-01018,2023-12-24,Asia pacific,INDIA,Services,Training Bundle,2096,1079.66,0.2264,1750631.55,Iris Chen,Government
ORD-01053,2023-07-28,north america,canada,Software,Security Suite,18,$1525.73,0.0349,26504.68,Frank Brown,Education
ORD-00956,2023-11-27,EUROPE,germany,Accessories,Cable Kit,29,1885.67,0.2488,41078.94,David Lee,Enterprise
ORD-00100,2024-08-21,EUROPE,italy,Electronics,4K Monitor,10,1369.8,0.3026,9552.99,Grace Kim,Startup
ORD-00211,2023-07-28,ASIA PACIFIC,Japan,Accessories,Cable Kit,19,1676.28,0.1093,28368.19,Frank Brown,Enterprise
ORD-00205,2023-04-26,europe,France,Software,Project Manager,4,834.18,0.3263,2247.95,Alice Johnson,Government
ORD-00680,2023-06-04,middle east,uae,Hardware,GPU Unit,33,2679.08,0.4476,48837.49,Iris Chen,Government
ORD-01055,2023-01-27,ASIA PACIFIC,australia,Accessories,Keyboard Mechanical,7,143.38,0.4103,591.86,Bob Smith,Education
ORD-00852,2024-06-05,europe,UK,Services,Training Bundle,1755,257.07,0.301,315359.34,David Lee,Enterprise
ORD-00734,2023-07-30,ASIA PACIFIC,South Korea,Electronics,Laptop Pro 15,3,1600.25,0.1237,4206.9,David Lee,Education
ORD-00240,2024-05-05,middle east,Saudi Arabia,Hardware,Network Switch,24,$2369.33,0.4458,31513.98,Jack Wilson,Government
ORD-01051,2023-02-09,ASIA PACIFIC,China,Software,Analytics Dashboard,7,$1857.66,0.0515,12333.93,Carol White,Education
ORD-00856,2023-05-08,Asia pacific,South Korea,Software,Analytics Dashboard,7,777.7,0.0381,5236.49,Iris Chen,Startup
ORD-00965,2024-02-14,LATIN AMERICA,Brazil,Hardware,GPU Unit,11,1406.45,,12435.55,David Lee,Startup
ORD-00469,2024-06-25,north america,mexico,Accessories,Cable Kit,7,$2384.8,0.2776,12059.46,Alice Johnson,Enterprise
ORD-00264,2023-06-11,North America,United States,Electronics,Laptop Pro 15,5,$2511.73,0.4182,7306.62,Henry Davis,Government
ORD-00964,2023-10-02,North America,United States,Software,CRM Suite,21,667.08,0.4229,8084.41,Eva Martinez,Government
ORD-00285,2024-10-13,ASIA PACIFIC,China,Accessories,Mouse Ergonomic,67,$2797.86,0.2437,141773.44,Alice Johnson,Startup
ORD-00024,2023-03-11,ASIA PACIFIC,South Korea,Accessories,Mouse Ergonomic,3,1528.4,0.0308,4443.98,David Lee,Government
ORD-00833,2024-01-04,europe,germany,Software,CRM Suite,5,2873.06,0.0075,14257.56,Alice Johnson,Startup
ORD-00229,2024-08-22,north america,mexico,Services,Integration Service,6,1663.57,0.0836,9146.97,Grace Kim,Enterprise
ORD-00666,2023-04-13,middle east,UAE,Services,Integration Service,13,2780.22,0.1901,29272.1,Carol White,Startup
ORD-00938,2024-05-02,europe,France,Services,Training Bundle,21,1033.84,0.0957,19632.93,Bob Smith,Startup
ORD-00870,2024-11-24,north america,United States,Hardware,GPU Unit,60,$2426.95,0.4268,83467.66,Iris Chen,SMB
ORD-00265,2023-04-06,north america,UNITED STATES,Software,Analytics Dashboard,9,912.57,0.3945,4973.05,Frank Brown,Startup
ORD-00124,2024-12-27,EUROPE,italy,Electronics,Webcam HD,1437,2587.7,0.258,2759145.48,Grace Kim,Startup
ORD-01119,2023-04-30,North America,United States,Hardware,RAM 32GB,14,2091.9,0.2084,,Bob Smith,SMB
ORD-01084,2023-12-28,North America,Canada,Accessories,Docking Station,972,$2409.2,0.3171,1599175.88,Iris Chen,Enterprise
ORD-01071,2024-09-04,EUROPE,France,Hardware,Network Switch,11,1660.96,0.076,16882.0,Alice Johnson,Education
ORD-00650,2023-08-20,LATIN AMERICA,colombia,Electronics,USB Hub,21,802.8,0.2581,12507.54,Jack Wilson,Enterprise
ORD-00271,2023-10-19,North America,Canada,Software,Security Suite,38,752.01,0.3245,19303.34,Alice Johnson,Startup
ORD-00507,2023-06-03,Asia pacific,INDIA,Accessories,Cable Kit,7,520.94,0.3921,2216.76,Carol White,SMB
ORD-00721,2024-08-18,EUROPE,Germany,Electronics,Webcam HD,15,2213.2,0.4423,18514.52,Jack Wilson,Education
ORD-00453,2023-10-03,LATIN AMERICA,CHILE,Electronics,Wireless Headphones,5,1609.55,,7677.55,Carol White,Government
ORD-00801,2023-09-13,europe,germany,Hardware,RAM 32GB,25,23.94,0.3452,391.9,Frank Brown,SMB
ORD-00071,2024-10-02,europe,UK,Accessories,Docking Station,16,$2880.72,0.3432,30272.91,David Lee,Startup
ORD-00526,2023-04-11,Asia pacific,China,Hardware,RAM 32GB,2,1575.64,0.0645,,Iris Chen,SMB
ORD-00397,2024-09-13,North America,UNITED STATES,Services,Integration Service,3,923.35,0.0791,2550.94,Bob Smith,Startup
ORD-00172,2024-01-29,EUROPE,UK,Software,Project Manager,6,1354.28,0.0228,7940.41,Jack Wilson,Government
ORD-00779,2023-03-22,LATIN AMERICA,CHILE,Electronics,4K Monitor,11,890.6,0.246,7386.64,Eva Martinez,SMB
ORD-00169,2024-05-24,EUROPE,Germany,Accessories,Desk Mat XL,10,2303.2,0.2875,16410.3,Iris Chen,Startup
ORD-00549,2023-03-23,North America,United States,Electronics,USB Hub,16,1112.04,0.4328,10091.99,Carol White,Education
ORD-00306,2023-01-02,North America,Canada,Accessories,Mouse Ergonomic,13,2204.63,0.08,26367.37,Jack Wilson,Government
ORD-00632,2023-12-30,LATIN AMERICA,brazil,Services,Training Bundle,41,563.52,0.0483,21988.38,Grace Kim,Government
ORD-00126,2023-08-15,EUROPE,France,Services,Audit Report,70,245.14,0.3356,11400.97,Frank Brown,SMB
ORD-00846,2023-12-23,ASIA PACIFIC,INDIA,Hardware,Network Switch,18,1648.34,0.3051,,Grace Kim,Government
ORD-00284,2023-09-06,EUROPE,SPAIN,Services,Consulting Package,4,881.86,0.3328,2353.51,Henry Davis,Startup
ORD-00165,2024-10-17,North America,United States,Services,Integration Service,26,1040.09,0.3511,17547.77,Jack Wilson,SMB
ORD-00767,2023-12-06,north america,Canada,Software,Project Manager,11,724.66,,4553.98,Grace Kim,SMB
ORD-00493,2024-12-03,North America,UNITED STATES,Software,CRM Suite,12,1566.94,0.3927,,David Lee,Government
ORD-00808,2023-09-07,north america,Canada,Electronics,USB Hub,8,380.92,0.1928,2459.83,Jack Wilson,Enterprise
ORD-00043,2024-05-01,North America,United States,Software,Security Suite,11,$605.39,0.1102,5925.44,Jack Wilson,Enterprise
ORD-00752,2024-06-19,Asia pacific,Japan,Accessories,Mouse Ergonomic,4,391.01,0.385,961.88,Eva Martinez,SMB
ORD-00880,2024-02-14,EUROPE,italy,Services,Audit Report,31,2048.38,0.338,42036.85,Iris Chen,Government
ORD-00410,2023-03-12,Asia pacific,South Korea,Accessories,Desk Mat XL,18,2059.91,0.2684,27126.54,David Lee,Government
ORD-00133,2024-02-01,north america,Canada,Services,Integration Service,5,1833.31,0.4131,5379.85,Grace Kim,Startup
ORD-01139,2024-01-29,EUROPE,UK,Electronics,Webcam HD,19,46.54,0.2586,655.59,Henry Davis,Enterprise
ORD-00509,2024-05-20,north america,canada,Hardware,Server Rack,12,2567.67,0.0026,30731.93,David Lee,SMB
ORD-00039,2023-11-13,europe,Germany,Hardware,GPU Unit,4,2545.56,0.1351,8806.62,Grace Kim,Startup
ORD-01057,2024-10-07,europe,germany,Electronics,Laptop Pro 15,11,2977.03,0.449,18043.78,Iris Chen,Government
ORD-00564,2024-11-14,middle east,ISRAEL,Services,Consulting Package,9,2768.85,0.1921,20132.59,Frank Brown,Startup
ORD-00572,2024-05-15,EUROPE,germany,Services,Support Plan,46,587.34,,19809.33,Grace Kim,Enterprise
ORD-00935,2023-09-27,ASIA PACIFIC,australia,Accessories,Docking Station,17,1127.3,0.2277,,Alice Johnson,Education
ORD-00891,2024-07-27,ASIA PACIFIC,China,Accessories,Mouse Ergonomic,23,583.19,0.1136,11889.61,Frank Brown,Startup
ORD-00878,2024-12-27,EUROPE,italy,Services,Support Plan,14,$2243.79,,18923.23,David Lee,Enterprise
ORD-00871,2023-01-08,ASIA PACIFIC,INDIA,Accessories,Docking Station,10,1222.35,0.4099,,Grace Kim,Education
ORD-00014,2023-03-01,North America,UNITED STATES,Electronics,Laptop Pro 15,2,2637.37,0.1384,4544.72,David Lee,Education
ORD-00167,2024-06-30,middle east,UAE,Hardware,Network Switch,23,1657.01,0.1363,32916.67,Bob Smith,Education
ORD-00519,2024-02-10,EUROPE,UK,Hardware,GPU Unit,13,$2303.42,0.15,25452.79,Jack Wilson,Education
ORD-00225,2023-02-17,EUROPE,SPAIN,Electronics,Wireless Headphones,8,2605.66,0.214,16384.39,Bob Smith,Startup
ORD-00307,2024-05-23,north america,Canada,Accessories,Desk Mat XL,33,2902.91,0.2545,71415.94,Carol White,Startup
ORD-00876,2023-06-07,Asia pacific,INDIA,Hardware,Server Rack,51,$1481.21,0.2314,,Grace Kim,Enterprise
ORD-00352,2023-01-03,middle east,Saudi Arabia,Electronics,USB Hub,39,631.0,0.1488,20947.18,Alice Johnson,Enterprise
